10.13s - Player_12f22799-bee4-4e7b (dlseS6MFZ0QIsgi-AAAF): "g"
18.37s - Player_5c90dd6c-1642-4c36 (VXmTnxcwjmuIliQQAAAF): "asda"
34.96s - Cole (0dUnj_vSXUxrdfHRAAAD): "hello"
152.43s - Player_eac7b68d-270b-4c33 (4GpbKnzZI4CLFQPxAAAH): "kys"
466.99s - Kevin (HC7tfO_dtq9k6-zNAAAJ): "niqqa"
138.93s - Player_4b0ea293-39b8-4646 (2koXKlkqq4qhQLEeAAAF): "haha lil boi"
150.20s - bennett (2koXKlkqq4qhQLEeAAAF): "hehehe"
341.91s - bennett (2koXKlkqq4qhQLEeAAAF): "suck my cocccc"
458.18s - bennett (2koXKlkqq4qhQLEeAAAF): "as"
638.26s - bennett (2koXKlkqq4qhQLEeAAAF): "ggwp"
46.84s - Player_9a84a42b-12a9-46bd (ccDAC4ulBMUgNH05AAAB): "YOU SUCk"
48.99s - Player_9a84a42b-12a9-46bd (ccDAC4ulBMUgNH05AAAB): "w\w"
49.27s - Player_9a84a42b-12a9-46bd (ccDAC4ulBMUgNH05AAAB): "w"
49.72s - Player_9a84a42b-12a9-46bd (ccDAC4ulBMUgNH05AAAB): "w"
49.97s - Player_9a84a42b-12a9-46bd (ccDAC4ulBMUgNH05AAAB): "w"
50.23s - Player_9a84a42b-12a9-46bd (ccDAC4ulBMUgNH05AAAB): "w"
50.59s - Player_9a84a42b-12a9-46bd (ccDAC4ulBMUgNH05AAAB): "w"
50.85s - Player_9a84a42b-12a9-46bd (ccDAC4ulBMUgNH05AAAB): "w"
51.37s - Player_9a84a42b-12a9-46bd (ccDAC4ulBMUgNH05AAAB): "w"
51.70s - Player_9a84a42b-12a9-46bd (ccDAC4ulBMUgNH05AAAB): "w"
52.91s - Player_9a84a42b-12a9-46bd (ccDAC4ulBMUgNH05AAAB): "w"
71.29s - bennetsucks (ccDAC4ulBMUgNH05AAAB): "fuck"
